Brand,Style,Review #,Variety,Country,Stars,Top Ten
New Touch,Cup,2580,T's Restaurant Tantanmen ,Japan,3.75,
Just Way,Pack,2579,Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles,Taiwan,1,
Nissin,Cup,2578,Cup Noodles Chicken Vegetable,USA,2.25,
Wei Lih,Pack,2577,GGE Ramen Snack Tomato Flavor,Taiwan,2.75,
Ching's Secret,Pack,2576,Singapore Curry,India,3.75,
Samyang Foods,Pack,2575,Kimchi song Song Ramen,South Korea,4.75,
Acecook,Cup,2574,Spice Deli Tantan Men With Cilantro,Japan,4,
Ikeda Shoku,Tray,2573,Nabeyaki Kitsune Udon,Japan,3.75,
Ripe'n'Dry,Pack,2572,Hokkaido Soy Sauce Ramen,Japan,0.25,
KOKA,Pack,2571,The Original Spicy Stir-Fried Noodles,Singapore,2.5,
Tao Kae Noi,Pack,2570,Creamy tom Yum Kung Flavour,Thailand,5,
Yamachan,Pack,2569,Yokohama Tonkotsu Shoyu,USA,5,
Nongshim,Pack,2568,Mr. Bibim Stir-Fried Kimchi Flavor,South Korea,4.25,
Nissin,Bowl,2567,Deka Buto Kimchi Pork Flavor,Japan,4.5,
Nissin,Pack,2566,Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle,Hong Kong,5,
KOKA,Cup,2565,Mushroom Flavour Instant Noodles,Singapore,3.5,
TRDP,Pack,2564,Mario Masala Noodles,India,3.75,
Yamachan,Pack,2563,Tokyo Shoyu Ramen,USA,5,
Binh Tay,Pack,2562,Mi Hai Cua,Vietnam,4,
Paldo,Pack,2561,Premium Gomtang,South Korea,4,
Nissin,Cup,2560,Cup Noodles Laksa Flavour,Hong Kong,4.25,
Jackpot Teriyaki,Pack,2559,Beef Ramen,USA,5,
KOKA,Cup,2558,Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor,Singapore,5,
Yamachan,Pack,2557,Sapporo Miso Ramen,USA,4.75,
Ching's Secret,Pack,2556,Hot Garlic Instant Noodles,India,4.25,
Samyang Foods,Bowl,2555,Song Song Kimchi Big Bowl,South Korea,4.25,
Yum-Mie,Pack,2554,Instant Noodles Beef In Light Soup Flavour,Ghana,3.5,
Nissin,Bowl,2553,Hakata Ramen Noodle White Tonkotsu,Japan,4.75,
MyKuali,Bowl,2552,Penang White Curry Rice Vermicelli Soup,Malaysia,5,
KOKA,Pack,2551,Signature Tom Yum Flavor Instant Noodles,Singapore,4,
Samyang Foods,Pack,2550,Paegaejang Ramen,South Korea,5,
Nissin,Pack,2549,Gekikara Ramen Extra Hot Ramen Goreng,Indonesia,4.5,
Ottogi,Pack,2548,Plain Instant Noodle No Soup Included,South Korea,Unrated,
Sichuan Guangyou,Bowl,2547,Chongqing Spicy Hot Noodles,China,4,
New Touch,Bowl,2546,Sugo-Men Kyoto Backfat Shoyu Ramen,Japan,3.75,
KOKA,Pack,2545,Instant Noodles Laksa Singapura Flavour,Singapore,5,
Lipton,Box,2544,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,USA,1.5,
KOKA,Cup,2543,Curry Flavour Instant Noodles,Singapore,5,
Acecook,Tray,2542,Super Cup Yochan Ika Yakisoba,Japan,1.5,
Nissin,Cup,2541,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,USA,5,
Wei Lih,Pack,2540,GGE Noodle Snack Wheat Crackers Mexican Spicy,Taiwan,3.25,
Nissin,Cup,2539,Demae Iccho Tonkotsu Flavour Instant Noodle,Hong Kong,3.75,
Nissin,Cup,2538,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,USA,5,
Nissin,Cup,2537,Cup NoodlesTom Yam Seafood (More Shrimptacular),Singapore,5,
Lele,Pack,2536,Instant Noodles Beef,Ghana,3.5,
Nissin,Cup,2535,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,USA,5,
Fujiwara,Pack,2534,Hokkaido Hakodate Shoyu Ramen,Japan,4,
Nongshim,Pack,2533,Shin Ramyun Black,South Korea,5,
Nissin,Bowl,2532,Nippon Onomichi Ramen,Japan,4.75,
Uni-President,Pack,2531,Pickled Cabbage Beef,China,4.25,
Ottogi,Pack,2530,Ppushu Ppushu Noodle Snack Honey Butter ,South Korea,2,
Maruchan,Bowl,2529,Gotsumori Chanpon Ramen,Japan,4.5,
Prima,Pack,2528,Juzz's Mee Creamy Chicken Flavour (Export Version),Singapore,5,
Uni-President,Pack,2527,Mushroom Flavor,Vietnam,0,
Samyang Foods,Bowl,2526,Jjamppong Big Bowl,South Korea,4.5,
Sokensha,Pack,2525,Curry Udon,Japan,3.5,
Nissin,Pack,2524,Straits Reborn Laksa,Singapore,5,
Nongshim,Pack,2523,Budae Jjigae Noodle Soup,South Korea,4.5,
Takamori,Pack,2522,Hearty Japanese Style Curry Udon,Japan,5,
Nissin,Pack,2521,Cup Noodles Potato Chips Black Pepper Crab Flavour,Singapore,4.5,
Nissin,Cup,2520,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Singapore,5,
Guava Story,Tray,2519,Anchovy Flavor Guava Rice Noodles,South Korea,1,
Samurai Ramen,Pack,2518,Umami Ramen,Japan,4,
Ikeda Shoku,Bowl,2517,Nabeyaki Tempura Udoin,Japan,4.5,
Fujiwara,Pack,2516,Hokkaido Hakodate Miso Ramen,Japan,3.5,
Uni-President,Bowl,2515,Man Han Feast Spicy Beef Flavor Instant Noodles,Taiwan,5,
Ogasawara,Pack,2514,Kirin Giraffe Shoyu Ramen,Japan,4.5,
Pringles,Can,2513,Nissin Top Ramen Chicken Flavor Potato Crisps ,USA,3.5,
Mom's Dry Noodle,Pack,2512,Dan Dan Noodle,Taiwan,5,
Samyang Foods,Bowl,2511,Samyang Ramen Classic Edition,South Korea,5,
MyKuali,Pack,2510,Penang Red Tom Yum Goong Noodle,Malaysia,5,
Maggi,Pack,2509,Hot Heads Green Chilli Noodles,India,3.5,
Samyang Foods,Pack,2508,Mala Buldak Bokkeummyun,South Korea,3.75,
Indomie,Pack,2507,RMy Noodlez Rumput Laut,Indonesia,4,
KOKA,Pack,2506,Delight Chicken Flavor Instant Non-Fried Noodles,Singapore,3.75,
Acecook,Bowl,2505,Super Cup Torigawa Shoyu,Japan,3.5,
Nongshim,Pack,2504,Shin Ramyun,South Korea,3,
Sichuan Guangyou,Bowl,2503,Sweet Potato Instant Noodle Sout-Hot Flavor,China,0,
Indomie,Pack,2502,Onion Chicken Flavor,Nigeria,1.5,
Happy Cook,Pack,2501,Toona Paste Noodle,Taiwan,4,
The Ramen Rater Select,Box,2500,Supreme Creamy Tom Yum Noodle,Malaysia,5,
KOKA,Cup,2499,Creamy Soup With Crushed Noodles Chicken Flavor,Singapore,5,
Nissin,Pack,2498,Demae Ramen Spicy Beef,Germany,3.75,
Nissin,Cup,2497,Cup Noodles Spicy,Germany,3.75,
Nissin,Pack,2496,Soba Thai,Germany,4.5,
Nissin,Cup,2495,Cup Noodles Huhn (Chicken),Germany,3.75,
Nissin,Pack,2494,Demae Ramen Korean Kimchi,Germany,3.5,
Nissin,Cup,2493,Cup Noodles Curry,Germany,3.75,
Nissin,Pack,2492,Smack Chili,Hungary,3.75,
Nissin,Cup,2491,Soba Yakitori Chicken,Germany,5,
Nissin,Pack,2490,Demae Ramen Garlic Chicken,Germany,3.5,
Nissin,Cup,2489,Cup Noodles Ente (Duck),Germany,3,
Nissin,Pack,2488,Demae Ramen Thai Tom Yum,Germany,3.75,
Nissin,Cup,2487,Soba Sukiyaki Beef,Germany,4.5,
Nissin,Pack,2486,Demae Ramen Spicy,Germany,3.5,
Nissin,Cup,2485,Cup Noodles Shrimps,Germany,3,
Nissin,Pack,2484,Demae Ramen Tokyo Soy Sauce,Germany,4,
Paldo,Bowl,2483,Bul Jjamppong,South Korea,5,
TTL,Pack,2482,Chicken With Chinese Shaoxing Wine,Taiwan,4.75,
Samyang Foods,Cup,2481,Buldak Bokkeummyun,South Korea,3.75,
Acecook,Bowl,2480,Pork Wantan Men,Japan,4.25,
E-Zee,Pack,2479,Instant Noodles Chicken Flavour,Malaysia,4,
Kiki Noodle,Pack,2478,Scallion Oil & Soy Sauce Noodle,Taiwan,5,
Kiki Noodle,Pack,2477,Sichuan Spices Flavor Noodle,Taiwan,5,
Samyang Foods,Bowl,2476,Kimchi Stew Ramyun,South Korea,4,
Maruchan,Bowl,2475,Seimen Red Spicy Dandan Men,Japan,4.75,
Ottogi,Pack,2474,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,South Korea,4.25,
Tokyo Noodle,Pack,2473,Mini Instant Noodle Mild Curry Flavor,Japan,2,
GGE,Pack,2472,Noodle Snack Wheat Cracks Seaweed Flavor,Taiwan,3.5,
Nissin,Cup,2471,Cup Noodles Mini Seafood Flavour,Hong Kong,5,
Myojo,Pack,2470,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,USA,3.75,
KOKA,Cup,2469,Signature Curry Flavor Instant Noodles,Singapore,3.5,
Acecook,Cup,2468,Dossari Yasai Chanpon,Japan,4.25,
Paldo,Pack,2467,Volcano Curry Kkokkomyun,South Korea,3.5,
Sau Tao,Pack,2466,Instant Noodle King Pepper Duck Flavour Soup,Hong Kong,4,
Nissin,Cup,2465,Cup Noodles XO Sauce Seafood,China,3.75,
Wang,Bowl,2464,Extreme Spicy Hot Chicken Flavor Udon,South Korea,2,
Nissin,Pack,2463,Gekikara Ramen Rasa Pedas,Indonesia,3.25,
TTL,Bowl,2462,Sesame Oil Chicken Noodle With Rice Wine,Taiwan,5,
Fujiwara,Pack,2461,Hokkaido Hakodate Shio Ramen,Japan,4.5,
Daifuku,Bowl,2460,Katsuo Bowl Udon,USA,5,
Nissin,Pack,2459,Cup Noodles MUG Shoyu & Seafood,Japan,3.5,
Samyang Foods,Pack,2458,Sari Ramen,South Korea,Unrated,
KOKA,Pack,2457,Instant Noodles Chicken Satay Flavour,Singapore,3.5,
KOKA,Pack,2456,Signature Spicy Singapore Fried Noodles Instant Noodles,Singapore,4.25,
KOKA,Cup,2455,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Singapore,5,
KOKA,Bowl,2454,Silk Beef Pho Flavor Instant Rice Fettuccine,Singapore,3.25,
KOKA,Pack,2453,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Singapore,4.5,
KOKA,Bowl,2452,Signature Laksa Singapura Instant Noodles,Singapore,5,
KOKA,Pack,2451,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Singapore,5,
KOKA,Pack,2450,Purple Wheat Noodles Chili & Lime Flavor,Singapore,4,
KOKA,Pack,2449,Delight Tomato Flavor Instant Non-Fried Noodles,Singapore,5,
KOKA,Cup,2448,Seafood Flavor Instant Noodles,Singapore,3.5,
KOKA,Pack,2447,Signature Stir-Fry Original Flavor Instant Noodles,Singapore,3,
KOKA,Cup,2446,Creamy Soup Witrh Crushed Noodles Curry Flavor,Singapore,5,
KOKA,Pack,2445,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Singapore,4.25,
KOKA,Bowl,2444,Silk Spicy Marinara Instant Rice Fettuccine,Singapore,5,
KOKA,Cup,2443,Signature Chicken Flavor Instant Noodles,Singapore,3.75,
Nissin,Cup,2442,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Mexico,3.5,
MyKuali,Box,2441,Penang Hokkien Prawn Flavor Noodle,Japan,5,
Master Kong,Pack,2440,Roasted Pork Noodle,China,4.5,
Uni-President,Bowl,2439,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Taiwan,5,
World O' Noodle,Pack,2438,Mi Goreng Original Flavour Fried Noodles,Indonesia,5,
Nissin,Bowl,2437,Raoh Nojyuku Toro Tonkotsu Ramen,Japan,4.5,
Kang Shi Fu,Pack,2436,Artificial Dongpo's Braised Pork Flavour,Hong Kong,4.75,
Mum Ngon,Pack,2435,Lau Tom Chua Cay,Vietnam,3.5,
Happy Cook,Pack,2434,Old Beijing Fried Bean Sauce Noodle,Taiwan,4.25,
Nissin,Cup,2433,Cup Noodles Indonesia Mie Goreng,Japan,3.75,
Fashion Food,Bowl,2432,Yummy Spicy Rice Soup With Seafood,Thailand,3.5,
Dream Kitchen,Bowl,2431,Udon Japanese Style Fresh Noodle,USA,3.75,
MyKuali,Pack,2430,MeeKuali Bihun Sup Rempah Perisa Daging,Malaysia,5,
New Touch,Cup,2429,T's Restaurant Sura Tanmen,Japan,4,
TTL,Bowl,2428,Sesame Oil Chicken With Rice Wine Noodle,Taiwan,5,
Ajinatori,Pack,2427,HALAL Chicken Shoyu Sauce Ramen,Japan,2.5,
Dr. McDougall's,Cup,2426,Vegan Pad Thai Noodle Soup,USA,0,
Nissin,Cup,2425,Seafood Flavour Rice Vermicelli,Hong Kong,5,
Samyang Foods,Pack,2424,Cheese Type Buldak Bokkeummyun (Black Pkg),South Korea,3.75,
Ve Wong,Pack,2423,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Taiwan,3.5,
Nissin,Cup,2422,Cup Noodles Sopa Nissin Con Camaron Picante,Mexico,3.25,
Uni-President,Pack,2421,Baseball Snack Noodle,Taiwan,5,
Nissin,Cup,2420,Cup Noodles Spicy Seafood Flavor,China,3.75,
MyKuali,Box,2419,Penang Red Tom Yum Goong,Japan,5,
Myojo,Tray,2418,Yomise No Yakisoba Karashi Mentaiko Flavor,Japan,4.5,
